Component,Risk,Attack Vector,Test Scenario,Questions,Reproduction Steps,Expected Behavior,Status,Notes
Bridge,Fund Theft,Replay Attack,"Execute same withdrawal message twice","Can a message execute twice?",,Message should be idempotent and nonce-checked,,
Bridge,Fund Theft,Forged Message,"Submit message with fake payload","Can a fake sequencer submit state?",,Only authorized signers should produce valid messages,,
Bridge,Fund Theft,Fake Proof,"Submit withdrawal with invalid Merkle proof","Can a malicious relayer forge finality?",,Proofs must be verified against canonical state root,,
Bridge,Fund Theft,Nonce Reuse,"Replay message with same nonce but different payload",,,"Each message must have unique nonce; replay must fail",,
Bridge,Fund Theft,Chain ID Confusion,"Submit message intended for chain A on chain B",,,"Chain ID must be validated; cross-chain replay must fail",,
Bridge,Fund Theft,Partial Verification,"Submit message that passes partial but not full verification",,,"All verification steps must execute atomically",,
Sequencer,Fake State Submission,Unauthorized State Root,"Submit state root without being registered sequencer","Can a fake sequencer submit state?",,"Only registered sequencers can submit state roots",,
Sequencer,Fake State Submission,State Root Replay,"Replay old state root as new",,,"State root must include block height; replay must fail",,
Sequencer,Fake State Submission,Invalid State Transition,"Submit state that doesn't follow consensus rules",,,"State transitions must be validated against consensus rules",,
Governance,Unauthorized Control,Vote Inflation,"Cast multiple votes with same token",,,"Voting power must be based on token balance at snapshot",,
Governance,Unauthorized Control,Snapshot Manipulation,"Change token balance after snapshot but before vote",,,"Snapshot must be taken at proposal creation; balance must be frozen",,
Governance,Unauthorized Control,Proposal Replay,"Replay proposal from another chain or earlier time",,,"Proposal must include chain ID and unique nonce",,
Governance,Unauthorized Control,Timing Attack,"Submit vote after voting period ends",,,"Voting deadline must be enforced; late votes rejected",,
Governance,Unauthorized Control,Quorum Bypass,"Pass proposal without meeting minimum participation",,,"Quorum must be checked; proposal fails if quorum not met",,
Reward,Infinite Rewards,Double Claim,"Claim rewards twice for same period",,,"Reward claims must be idempotent; each period claimable once",,
Reward,Infinite Rewards,Inflation Manipulation,"Manipulate reward rate calculation",,,"Reward rate must be deterministic and validated",,
Reward,Infinite Rewards,Unclaimed Reward Replay,"Replay unclaimed reward distribution",,,"Distributions must be idempotent; state must track claimed amounts",,
DID/KYC,Identity Bypass,Fake Identity,"Register identity without proper verification",,,"Identity must be verified through authorized KYC provider",,
DID/KYC,Identity Bypass,Identity Reuse,"Use same identity for multiple accounts",,,"Identity must be unique; duplicate registration must fail",,
DID/KYC,Identity Bypass,Expired Credential,"Use expired KYC credential",,,"Credential expiry must be checked; expired credentials rejected",,
Validator,Consensus Manipulation,Double Sign,"Sign two blocks at same height",,,"Double-signing must be detected and slashed",,
Validator,Consensus Manipulation,Invalid Block Proposal,"Propose block with invalid transactions",,,"Block validity must be verified by all validators",,
Validator,Consensus Manipulation,Stake Manipulation,"Manipulate validator stake weight",,,"Stake must be validated against on-chain state",,
Token Mint,Infinite Supply,Unauthorized Mint,"Mint tokens without proper authorization",,,"Minting must require authorized role or governance approval",,
Token Mint,Infinite Supply,Mint Replay,"Replay mint transaction",,,"Mint must be idempotent; nonce must prevent replay",,
Token Mint,Infinite Supply,Supply Cap Bypass,"Mint beyond maximum supply",,,"Supply cap must be enforced; mint beyond cap must fail",,
Gas Logic,Fund Theft,Gas Calculation Error,"Exploit gas calculation to underpay",,,"Gas must be calculated correctly; underpayment must fail",,
Gas Logic,Fund Theft,Gas Refund Exploit,"Exploit gas refund mechanism",,,"Gas refunds must be bounded and validated",,
Gas Logic,Fund Theft,Gas Price Manipulation,"Manipulate gas price for profit",,,"Gas price must be validated against oracle or fixed rate",,
Settlement,Fake State Submission,Invalid Settlement,"Submit settlement with invalid state",,,"Settlement must verify state against canonical chain",,
Settlement,Fake State Submission,Settlement Replay,"Replay old settlement",,,"Settlement must include unique identifier; replay must fail",,
Settlement,Fake State Submission,Partial Settlement,"Submit settlement that only partially settles",,,"Settlement must be atomic; partial settlement must fail",,
