Component,Risk,Attack Vectors,Testing Strategy,Questions
Bridge,Fund Theft,"replay attacks;forged messages;fake proofs;nonce reuse;chain ID confusion;partial verification","Test replay attacks;test forged messages;test fake proofs;test nonce reuse;test chain ID confusion;test partial verification","Can a message execute twice?;Can a fake sequencer submit state?;Can a malicious relayer forge finality?"
Sequencer Logic,Fake State Submissions,"unauthorized state submission;state manipulation;sequencer spoofing;invalid state transitions","Test unauthorized state submission;test state manipulation;test sequencer spoofing;test invalid state transitions","Can a fake sequencer submit state?;Can state be manipulated?;Can sequencer identity be spoofed?"
Governance,Unauthorized Control,"vote inflation;snapshot manipulation;proposal replay;timing attacks;quorum bypass","Test vote inflation;test snapshot manipulation;test proposal replay;test timing attacks;test quorum bypass","Can votes be inflated?;Can snapshots be manipulated?;Can proposals be replayed?"
Reward Logic,Infinite Rewards,"reward accounting overflow;double claim;inflation bugs;unbounded minting","Test reward accounting overflow;test double claim;test inflation bugs;test unbounded minting","Can rewards be claimed twice?;Can rewards overflow?;Can inflation be exploited?"
DID/KYC Modules,Identity Bypass,"identity spoofing;KYC bypass;sybil attack;credential forgery","Test identity spoofing;test KYC bypass;test sybil attack;test credential forgery","Can identity be spoofed?;Can KYC be bypassed?;Can sybil attacks succeed?"
Validator Logic,Consensus Manipulation,"consensus manipulation;validator spoofing;double signing;liveness attack;censorship attack","Test consensus manipulation;test validator spoofing;test double signing;test liveness attack;test censorship attack","Can consensus be manipulated?;Can validators be spoofed?;Can double signing occur?"
Settlement Logic,Incorrect State Transitions,"invalid state transition;state root mismatch;execution reordering;nonce gap exploitation","Test invalid state transition;test state root mismatch;test execution reordering;test nonce gap exploitation","Can state transitions be invalid?;Can execution be reordered?;Can nonce gaps be exploited?"
Token Minting,Unauthorized Minting,"unbounded minting;mint without authorization;supply inflation;mint replay","Test unbounded minting;test mint without authorization;test supply inflation;test mint replay","Can tokens be minted without authorization?;Can supply be inflated?;Can minting be replayed?"
Gas Logic,Denial of Service,"gas exhaustion;gas price manipulation;gas limit bypass;infinite loop","Test gas exhaustion;test gas price manipulation;test gas limit bypass;test infinite loop","Can gas be exhausted?;Can gas prices be manipulated?;Can gas limits be bypassed?"
Cross-Chain Bridging,Message Forgery,"cross-chain message forgery;relayer manipulation;finality bypass;chain reorg exploitation","Test cross-chain message forgery;test relayer manipulation;test finality bypass;test chain reorg exploitation","Can cross-chain messages be forged?;Can relayers be manipulated?;Can finality be bypassed?"
